unit_id	subject_text	object_text	sentence	toby_association_type	toby_deep_semantics
692104354	FLT3/TKD+	lestaurtinib	FLT3/TKD+ cells showed a similar response to lestaurtinib as FLT3/WT cells, whereas FLT3/ITD+ cells were more sensitive (P = 0.004).	PA	no_further_info
692104355	FLT3/WT	FLT3 inhibitors	These results suggest that FLT3/TKD+ and FLT3/WT cases should not be differentiated when considering patients for treatment with FLT3 inhibitors.	PA	no_further_info
692104356	FLT3/ITD	cytarabine	All three groups showed similar sensitivity to the cytotoxic effects of cytarabine but FLT3/ITD mutant level was inversely correlated with cytarabine cytotoxicity (P = 0.04) whereas FLT3/TKD mutant level had no impact.	PA	decreased_sensitivity
692104357	Cyclophilin A	infection	Polymorphisms in the regulatory region of the Cyclophilin A gene influence the susceptibility for HIV-1 infection.	PA	other
692104358	HCNPpp	Alzheimer's disease	Our previous study demonstrated that expression of HCNPpp mRNA was decreased in the hippocampi of autopsied brains of Alzheimer's disease (AD) patients, indicating the association of HCNP with the pathogenesis of AD.	PA	decreased_expression_in
692104359	GPx1	intestinal cancer	An anti-inflammatory and anticarcinogenic potential has been inferred from the development of colitis and intestinal cancer in GPx1 and GPx2 double knockout mice.	SA	other
692104360	ALDH7A1	pyridoxine dependent seizures	Allelic and non-allelic heterogeneities in pyridoxine dependent seizures revealed by ALDH7A1 mutational analysis.	PA	mutated_in
692104361	p53	cancers	Genetic alterations within the p53 gene have been shown to have a direct correlation with cancer development and have been shown to occur in nearly 50% of all cancers.	PA	mutated_in
692104362	Kr�ppel-like factor 5	colon cancer	Lysophosphatidic acid facilitates proliferation of colon cancer cells via induction of Kr�ppel-like factor 5.	PA	increased_expression_in
692104364	IL-10	leprosy	Taken together, these data suggest that low levels of IL-10 during the disease outcome can drive patients to a chronic and unprotective response that culminates with leprosy.	SA	decreased_expression_in
692104365	TGFBIp/betaig-h3	adenocarcinoma	TGFBIp/betaig-h3 protein is an extracellular matrix molecule initially cloned from human adenocarcinoma cells treated with TGF-beta.	PA	other
692104367	rs7566605	obesity	A common SNP upstream of the INSIG2 gene, rs7566605 (g.-10,1025G>C, Chr2:118,552,255, NT_022135.15), was reported to be associated with obesity (Body Mass Index, [BMI]) in a genome-wide association scan using the Framingham Heart Study but has not been reproduced in other cohorts.	SA	no_further_info
692104368	rs491347	osteoporosis	Especially, the SNP rs491347 and its strongly associated SNPs (e.g., rs1784235) could be important to human osteoporosis phenotypes.	SA	no_further_info
692104369	c.+119A > T in the 3'-UTR	ASD type II	In a family, we observed c.+119A > T in the 3'-UTR associated with ASD type II.	PA	no_further_info
692104371	G908R	CD	For the remaining markers, a susceptibility role was attributed also confirming that markers on CARD15 gene, in particular G908R and L1007fsinsC, are involved with CD to the same extent as FcGIIIA G559T and TNF-alpha-G308A.	PA	increases_risk_for
692104373	rs12198173	HIV	Moreover, protective alleles for four disease-associated SNPs in the MHC locus (rs2395029, rs13199524, rs12198173 and rs3093662) were strikingly over-represented among forty-five Long Term HIV controllers.	PA	other
692104374	rs677221-C	schizophrenia	In case-control samples, two SNPs (rs1937970 and rs677221) showed significant genotypic and allelic association with schizophrenia (all p < .05) with rs677221-C being the risk allele for schizophrenia (uncorrected p = .001, odds ratio = 1.439, 95% confidence interval = 1.115-1.858).	PA	increases_risk_for
692104375	ss52580101	type 1 diabetes	We genotyped the four single-nucleotide polymorphisms (rs706778, rs3118470, ss52580101, and rs11594656) of the IL2RA in 885 patients with type 1 diabetes and 606 control subjects of Japanese origin.	FA	
692104376	IL23R R381Q	CD	Multiple studies have now established the contribution of the interleukin 23 receptor gene (IL23R) to Crohn's disease (CD) risk in general and of the IL23R R381Q variant in particular.	PA	no_further_info
692183756	VEGF) receptors	pazopanib	We have developed a small-molecule inhibitor of all three vascular endothelial growth factor (VEGF) receptors (VEGFR), platelet-derived growth factor receptor, and c-Kit tyrosine kinases, pazopanib (GW786034), which selectively inhibits VEGF-induced endothelial cell proliferation.	PA	inhibition
692175567	FLT3/TKD+	FLT3 inhibitors	Whilst FLT3/ITD+ cells are more susceptible to the cytotoxic effects of FLT3 inhibitors than wild type (WT) cells, the sensitivity of FLT3/TKD+ cells to therapeutic agents is unclear, as is the importance of the mutant level.	SA	no_further_info
692133390	XPD Asn312Asn	cervical squamous cell carcinoma	Similarly, XPD Asn312Asn (AA) reduced the risk of cervical or cervical squamous cell carcinoma.	PA	decreases_risk_for
692183469	rheumatoid arthritis	methotrexate	To determine cancer risk in a cohort of 459 rheumatoid arthritis (RA) patients treated with methotrexate in community practice.	PA	used_to_treat
692180623	glioma	indomethacin-loaded nanocapsules	The main finding of the present study is that indomethacin-loaded nanocapsules formulation was more potent than a solution of indomethacin in decreasing the viability and cell proliferation of glioma lines.	PA	used_to_treat
692181839	fetuin-A	vascular calcification	The fetuin-A polymorphism (Thr256Ser) is associated with reduced fetuin levels and accelerated vascular calcification in dialysis patients.	PA	mutated_in
692195429	preterm birth	BZD	Maternal use of BZD and/or HBRA may increase the risk for preterm birth and low birth weight and cause neonatal symptoms, but does not appear to have a strong teratogenic potential.	SA	may_cause
692187667	NRG3	schizophrenia	The study investigated the possible association of NRG3 gene and schizophrenia in a Han Chinese population.	SA	no_further_info
692133757	C-reactive protein	GnRH agonists	In contrast to the metabolic syndrome, GnRH agonists increase subcutaneous fat mass, HDL cholesterol, and adiponectin, and do not alter the waist-to-hip ratio, blood pressure, or C-reactive protein level.	NA	
